Date,avg_temperature,precipitation_sum
2015-12-31,10,8.8
2016-01-31,8,2.225806451612903
2016-02-29,8,2.7655172413793103
2016-03-31,9,0.9935483870967742
2016-04-30,12,3.6533333333333338
2016-05-31,16,2.7483870967741937
2016-06-30,23,0.030000000000000002
2016-07-31,28,0.27419354838709675
2016-08-31,28,0.04838709677419355
2016-09-30,24,0.25666666666666665
2016-10-31,18,2.4548387096774196
2016-11-30,10,4.666666666666667
2016-12-31,8,1.6709677419354838
2017-01-31,7,0.7548387096774194
2017-02-28,9,2.3464285714285715
2017-03-31,11,1.432258064516129
2017-04-30,16,1.02
2017-05-31,20,1.3838709677419356
2017-06-30,26,0.26666666666666666
2017-07-31,27,1.3451612903225807
2017-08-31,27,1.2580645161290323
2017-09-30,23,0.02
2017-10-31,20,1.1064516129032258
2017-11-30,11,1.39
2017-12-31,7,1.364516129032258
2018-01-31,7,2.032258064516129
2018-02-28,7,2.7464285714285714
2018-03-31,9,6.422580645161291
2018-04-30,13,2.8399999999999994
2018-05-31,17,1.1064516129032258
2018-06-30,22,0.62
2018-07-31,25,0.0
2018-08-31,28,0.012903225806451613
2018-09-30,25,0.21333333333333335
2018-10-31,16,3.1516129032258067
2018-11-30,11,3.0133333333333336
2018-12-31,9,0.48709677419354835
2019-01-31,7,1.0548387096774194
2019-02-28,10,0.04285714285714286
2019-03-31,13,0.5774193548387097
2019-04-30,13,2.6166666666666667
2019-05-31,20,0.1
2019-06-30,23,0.023333333333333334
2019-07-31,27,0.05806451612903226
2019-08-31,27,0.025806451612903226
2019-09-30,22,0.9
2019-10-31,18,0.7870967741935483
2019-11-30,10,3.11
2019-12-31,10,3.1322580645161286
2020-01-31,8,1.0483870967741935
2020-02-29,11,0.33793103448275863
2020-03-31,12,2.2838709677419353
2020-04-30,14,2.51
2020-05-31,20,1.0838709677419356
2020-06-30,23,0.1
2020-07-31,30,0.0064516129032258064
2020-08-31,26,1.270967741935484
2020-09-30,22,1.65
2020-10-31,15,1.6290322580645162
2020-11-30,13,3.3433333333333333
2020-12-31,8,1.4967741935483871
2021-01-31,6,2.6193548387096777
2021-02-28,10,2.2785714285714285
2021-03-31,12,0.25161290322580643
2021-04-30,14,2.9766666666666666
2021-05-31,19,0.7612903225806451
2021-06-30,23,0.5333333333333333
2021-07-31,26,0.03870967741935485
2021-08-31,27,0.1193548387096774
2021-09-30,22,1.4766666666666666
2021-10-31,18,3.1516129032258067
2021-11-30,9,0.7933333333333333
2021-12-31,10,2.135483870967742
2022-01-31,8,0.12580645161290324
2022-02-28,11,0.47500000000000003
2022-03-31,11,4.65483870967742
2022-04-30,13,3.12
2022-05-31,21,0.2903225806451613
2022-06-30,25,0.11
2022-07-31,30,0.0
2022-08-31,28,0.14838709677419354
2022-09-30,22,1.6266666666666665
2022-10-31,20,1.832258064516129
2022-11-30,12,2.0933333333333333
2022-12-31,11,6.161290322580645
